Tagmar,Pathfinder,D&D,descrição,INT(tagmar),AUR(tagmar),CAR(tagmar),FOR(tagmar),FIS(tagmar),AGI(tagmar),PER(tagmar),Str (Pathinder),Dex (Pathinder),Con (Pathinder),Int (Pathinder),Wis (Pathinder),Cha (Pathinder),Str (D&D),Dex (D&D),Con (D&D),Int (D&D),Wis (D&D),Cha (D&d)
Mamute,Mammoth,mammoth,"Os mamutes são mamíferos de grande porte que habitam as regiões mais frias do sul de Tagmar. Suas manadas podem ser vistas desde as Geleiras até as terras gélidas, ao leste do Domo de Arminus. São muito semelhantes aos elefantes. No entanto, distinguem-se de seus parentes do norte por possuírem corpos mais fortes e vigorosos que chegam a atingir 5,5 metros de altura e até 8.000 kg. Outras diferenças são sua acentuada curvatura para baixo junto as suas costas e o seu crânio curto, alto e pontiagudo que ostenta pequenas orelhas adaptadas ao frio, e enormes presas curvadas que podem alcançar cerca de 5,0m de comprimento.",1,0,-1,6,2,0,0,33,10,23,2,13,6,24.0,9.0,21.0,3.0,11.0,6.0
Mantícora,Manticore,manticore,"Rápidas e mortais, as mantícoras são bestas mágicas que lembram panteras magras. Apesar disso, são monstros bem esquisitos e devastadores. Territoriais como os tigres, elas mantêm uma alimentação baseada em carne e têm grande predileção pela humana e élfica. Elas são encontradas desde as florestas de Tambar até Finlaril, passando por Âmien, Kendel e Siltam.",irracional,2,-1,4,2,5,3,20,15,18,7,12,9,17.0,16.0,17.0,7.0,12.0,8.0
Mastim Infernal,Hell Hound,hell-hound,"Uma experiência com forças malignas criou estas criaturas. Sua aparência diabólica demonstra sua origem: pelos negros ou vermelho-escuro adornam esses seres que se assemelham a cães enormes e agressivos, com dentes afiados, mandíbulas poderosas e olhos totalmente vermelhos e assustadores.",0,1,-1,1,1,2,3,13,13,15,6,10,6,17.0,12.0,14.0,6.0,13.0,6.0
Medusa,Medusa,medusa,"Medusas foram belas mulheres que cegas por sua própria arrogância, tentaram equiparar-se em beleza a Lena em seu próprio templo. Por tal afronta, foram amaldiçoadas a perder sua beleza e perpetrar uma vida de infelicidade, depressão e solidão. Seus belos cabelos tornaram-se cobras venenosas; sua pele alva e macia tornou-se escamosa e escorregadia; suas belas pernas alongaram-se, formando um único membro semelhante ao corpo de uma gigantesca cobra. Por fim, seu olhar sedutor tornou-se sua maior maldição.",2,2,-3,1,0,4,1,10,15,18,12,13,15,10.0,15.0,16.0,12.0,13.0,15.0
Minotauro,Minotaur,minotaur,"Estas criaturas possuem o corpo de seres humanos extremamente musculosos e a cabeça de um touro. Apesar de sua aparência brutal eles possuem uma memória prodigiosa, se lembrando de cada meandro do local onde vivem.",1,1,-1,3,3,1,0,19,10,15,7,10,8,18.0,11.0,16.0,6.0,16.0,9.0
Monstro dos Mangues,Boggard,mud-mephit,"Os Monstros dos Mangues nada mais são do que Crocodilos como outros quaisquer. Porém, com um tamanho bastante avantajado. Para aqueles que estudam os répteis, essas criaturas também são conhecidas como Crocodilos Terríveis, um dos maiores crocodilianos que já existiu. Os Monstros dos Mangues possuem um crânio de aproximadamente, dois metros, mais os treze restantes, totalizando quinze metros de comprimento, pesam em torno de duas toneladas. Esta besta é suficientemente grande e pesada para assustar qualquer aventureiro incauto; um verdadeiro monstro; um carnívoro voraz.",irracional,-3,-3,10,5,2,6,15,9,14,8,11,10,8.0,12.0,12.0,9.0,11.0,7.0
Ninfa,Nymph,dryad,"São filhas de Ganis, a Deusa do mar, criadas a partir dos fios dourados de seus cabelos. As Ninfas nunca envelhecem, permanecendo jovens e belas por toda a eternidade. Sua aparência varia muito, mas são sempre mulheres, aparentando ter entre 15 e 30 anos e com uma beleza misteriosa. Erroneamente apontadas como as fêmeas da espécie dos Sátiros, elas na verdade são uma raça à parte, tendo o poder de se transformar em uma jovem normal da raça humana ou élfica. As Ninfas vivem próximo a rios ou cachoeiras no interior de florestas pouco exploradas, de preferência próximas a um Sátiro",3,4,4,1,1,3,2,10,21,18,16,17,25,10.0,12.0,11.0,14.0,15.0,18.0
Ogros (revisão) Comum,Ogre,ogre,"Ogros são humanoides com cerca de 2,5 metros de altura, extremamente fortes e largos. Seu corpo é recoberto por uma leve pelagem castanha, podendo ter tons escuros ou claros. Sua vestimenta é feita de peles de animais curtidas de forma grosseira que equivalem a armaduras de couro rígido.",-2,0,0,4,1,0,1,21,8,15,6,10,7,19.0,8.0,16.0,5.0,7.0,7.0
Orco Comum,Orc,orc,"Orcos são seres de aparência humana, porém incrivelmente feios, com braços grandes, corpo peludo, rosto deformado, dentes caninos inferiores protuberantes e ligeiramente corcundas. Além desta aparência desagradável, seus hábitos selvagens e brutais os levam a serem temidos e odiados por boa parte da população civilizada de Tagmar.",-1,0,0,2,2,1,0,17,11,12,7,8,6,16.0,12.0,16.0,7.0,11.0,10.0
Pégasus,Pegasus,pegasus,"Pégasus são simplesmente criaturas do porte de cavalos de guerra pesados providos de potentes asas. Seu comportamento é bem similar ao de cavalos comuns; são apenas muito mais tímidos e um pouco mais inteligentes que cavalos normais, podendo portanto, ser domesticados também.",irracional,1,-2,3,1,5,2,18,15,16,10,13,13,18.0,15.0,16.0,10.0,15.0,13.0
Pirohidra (2 cabeças),Hydra,hydra,"Sua coloração varia entre o vermelho, dourado ou alaranjado, com duas ou três cabeças e um corpo coberto de escamas grossas e belas, muito procuradas por artesãos (que as usam na criação de joias muito resistentes ao fogo).",irracional,1,-3,5,5,4,2,17,12,18,2,11,9,20.0,12.0,20.0,2.0,10.0,7.0
Pirohidra (3 cabeças),Hydra,hydra,"Sua coloração varia entre o vermelho, dourado ou alaranjado, com duas ou três cabeças e um corpo coberto de escamas grossas e belas, muito procuradas por artesãos (que as usam na criação de joias muito resistentes ao fogo).",irracional,1,-2,6,5,5,3,17,12,18,2,11,9,20.0,12.0,20.0,2.0,10.0,7.0
Quimera,Chimera,chimera,"Verdadeiras aberrações, as Quimeras são bestas mágicas que aliam força física a poderes mágicos. Elas combinam partes de bodes, leões e serpentes, gerando criaturas fascinantes e aterrorizadoras. As quimeras possuem três cabeças. Uma de um bode negro de cornos cinzentos e olhos avermelhados, que projetam uma leve fumaça acinzentada constante. A segunda, de um leão grandioso, de olhos completamente brancos e sem pupilas. A terceira e última, finalmente, de serpente cheia de escamas verdes. A ordem é variável, mas a cabeça de serpente é sempre a responsável pela criatura, dada sua inteligência. Se for cortada, a de leão irá assumir e o monstro se tornará irracional.",4,5,-3,3,3,2,3,19,12,17,4,13,10,19.0,11.0,19.0,3.0,14.0,10.0
Rinoceronte,Rhinoceros,rhinoceros,"Os rinocerontes são grandes mamíferos herbívoros que vivem em savanas e florestas tropicais. Possuem pele espessa e acinzentada bem como longos chifres que podem chegar a até um metro e meio na idade adulta. Suas orelhas são muito pequenas. Em cada pata há três dedos funcionais cobertos por uma unha parecida com um casco. Eles não enxergam bem, porém tem ótima audição.",irracional,0,-2,6,6,1,2,22,10,19,2,13,5,21.0,8.0,15.0,2.0,12.0,6.0
Salamandra,Salamander,salamander,"Este enorme anfíbio sem asas é encaixado nesta classificação por seus poderes especiais, que muito se assemelham aos de um Dragão do Fogo. Suas feições mais se assemelham às de um grande lagarto que às de um majestoso dragão, tendo coloração invariavelmente vermelha com alguns tons de dourado. Eles costumam medir entre 9 e 11 metros de comprimento.",irracional,0,-1,3,1,2,1,16,13,18,14,15,13,18.0,14.0,15.0,11.0,10.0,12.0
Sátiro,Satyr,satyr,"Sátiros são espíritos da natureza com tronco e cabeça de homem e pernas e rabo de bode, além de um par de pequenos chifres no alto da testa. Todos os Sátiros são machos. As fêmeas da espécie são as ninfas, que têm características diferentes, só se encontrando com os sátiros durante a primavera em dias e noites de extrema beleza para festins que agrupam de 5 a 12 ninfas e igual número de Sátiros",0,3,2,1,2,3,1,14,15,15,12,14,19,12.0,16.0,11.0,12.0,10.0,14.0
Sereias,Merfolk,merfolk,"Sereias são ninfas amaldiçoadas pela deusa Ganis por abandonar as águas e a sua imortalidade pelo amor de um mortal. Como castigo foram transformadas em criaturas híbridas, mantendo seu corpo com a parte superior igual à de uma mulher de pele muito branca, de cabelos longos e transformando sua parte inferior numa cauda igual à de um imenso peixe sem escamas, para que nunca mais pudessem vir a desfrutar dos prazeres do corpo novamente. Tanto a jovialidade como a imortalidade natural lhes foi arrancada, e seu amor pelos mortais se transformou em ódio e ressentimento. Sereias culpam os homens por sua condição e embora mortais, descobriram uma forma de enganar as areias do tempo e se vingar dos homens, roubando-lhes seu tempo restante de vida. Garantem assim uma imortalidade artificial afrontando os desígnios de Ganis com sua vingança.",1,4,3,1,1,3,2,13,13,14,10,9,10,10.0,13.0,12.0,11.0,11.0,12.0
Tigre,Tiger,tiger,"São animais solitários, que apresentam pelo amarelo com listras pretas. Suas dimensões são as mesmas de um Leão, e suas Habilidades muito parecidas. Habitam as florestas tropicais e subtropicais onde não ocorram outros felinos.",irracional,0,-1,5,1,4,1,23,15,17,2,12,6,17.0,15.0,14.0,3.0,12.0,8.0
Transmorfo,Doppelganger,doppelganger,"Transmorfos são seres oriundos dos mangues. Em sua forma natural, eles são seres humanoides extremamente deformados, possuindo braços e pernas tortos, corcundas, cabeças disformes, mãos com excesso ou falta de dedos, etc. Quaisquer que sejam as (muitas) deformações do transmorfo, elas são extremamente dolorosas, fazendo com que o mesmo fique em constante agonia enquanto estiver em sua forma natural.",2,1,0,0,1,3,0,18,13,12,13,14,13,11.0,18.0,14.0,11.0,12.0,14.0
Trol Comum,Troll,troll,"Trols são seres humanoides que possuem os maxilares desproporcionalmente grandes e olhos de um amarelo brilhante. Até mesmo o sangue destes monstros é repugnante, sendo de uma horrível cor verde e tremendamente mal cheiroso. Estas criaturas são bestas sanguinárias, cuja força é igualada somente pela sua ferocidade e estupidez.",-2,-1,-1,5,1,0,1,21,14,23,6,9,6,18.0,13.0,20.0,7.0,9.0,7.0
Tubarão Branco Gigante,Great White Shark,giant-shark,"Tubarões são criaturas audazes, impetuosas e agressivas que não medem esforços para vitimar suas presas. Possuem corpos hidrodinâmicos e característicos, que lhes proporcionam alcançar altas velocidades rapidamente. A pele de qualquer tubarão é revestida e protegida por minúsculas escamas pontiagudas, que dão rigidez e uma sensação de aspereza quando tocada.",irracional,0,1,10,8,6,6,25,14,19,1,16,4,23.0,11.0,21.0,1.0,10.0,5.0
Unicórnio,Unicorn,unicorn,"Criatura mística que tem a forma de um cavalo com um único chifre cônico e anelado em sua cabeça. Muito rápido e ágil, este ser vive em harmonia com seu habitat, possuindo empatia com todos os animais da floresta onde vive, sendo conhecido e respeitado por proteger sua floresta e seus habitantes. Esta empatia age como uma comunicação telepática, com os animais informando-o dos movimentos de estranhos na floresta. Para estabelecer está comunicação o unicórnio deve permanecer imóvel por 5 minutos.",2,4,2,3,2,3,4,18,17,16,11,21,24,18.0,14.0,15.0,11.0,17.0,16.0
Urso,Dire Bear,brown-bear,"Ursos estão entre os maiores carnívoros de Tagmar. Existem várias espécies, cada uma adaptada a um habitat onde prevalecem condições muito diferentes. Apesar disso, a maioria é muito semelhante em conformação e tamanho. A cor de seus pelos é a diferença mais visível entre eles, pois ursos que vivem em regiões temperadas costumam ter pelos castanhos, enquanto que ursos de regiões polares têm pelos brancos. Ursos costumam pesar aproximadamente 700 kg e medir cerca de 2,5 metros de comprimento.",irracional,0,-1,5,1,0,1,25,13,21,2,12,10,19.0,10.0,16.0,2.0,13.0,7.0
